ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
2980,UNITED,Domestic Offpeak,U.S. Midwest,Business,Uber/Lyft,NA,4,8,Passives,NA,4,4,5,4,Male,25-34,NA,No,No,English
2981,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Uber/Lyft,NA,4,8,Passives,3,3,4,4,3,Male,25-34,"$50,000-$100,000",No,No,English
2982,SOUTHWEST,Domestic Offpeak,U.S. West,Visit friends,Dropped off,NA,4,10,Promoters,4,4,4,5,4,Female,65 and over,"$50,000-$100,000",NA,No,English
2983,AMERICAN,Domestic Offpeak,U.S. East,Business,Uber/Lyft,NA,4,9,Promoters,4,4,4,5,4,Male,45-54,"$100,001-$150,000",Yes,No,English
2984,AMERICAN,Domestic Offpeak,U.S. East,Visit friends,BART,NA,4,8,Passives,4,NA,5,5,5,Male,25-34,"$150,000 or higher",No,No,English
2985,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,4,9,Promoters,NA,4,5,5,5,Male,35-44,"$50,000-$100,000",No,No,English
2986,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,COULDN'T FIND A PLACE TO GET A VEGETARIAN MEAL.,4,7,Passives,3,NA,2,5,4,Female,25-34,"$50,000-$100,000",No,No,English
2987,AMERICAN,Domestic Offpeak,U.S. East,Vacation,BART,SECURITY = UNACEPTABLE SERVICE DUE TO TIME,3,6,Detractors,4,3,4,4,4,Male,35-44,"$150,000 or higher",No,No,English
2988,FRONTIER,Domestic Offpeak,U.S. West,Vacation,Dropped off,NA,3,10,Promoters,5,5,5,3,5,Female,55-64,"$50,000-$100,000",No,No,English
2989,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Dropped off,NA,5,10,Promoters,5,5,5,5,5,Female,25-34,"$50,000-$100,000",No,No,English
2990,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Rental Car,NA,4,9,Promoters,4,4,5,4,4,Female,25-34,"less than $50,000",No,No,English
2991,UNITED,Domestic Peak,U.S. West,Business,Connect from another flight,NA,5,10,Promoters,5,5,5,5,5,Male,55-64,"less than $50,000",No,NA,English
2992,AMERICAN,Domestic Offpeak,U.S. East,Vacation,Dropped off,SECURITY LINE WAS VERY LONG,4,8,Passives,3,3,5,5,4,Male,35-44,"$100,001-$150,000",No,No,English
2993,UNITED,Domestic Offpeak,U.S. East,Business,Rental Car,NA,3,6,Detractors,4,4,2,4,2,Female,45-54,"$150,000 or higher",Yes,No,English
